Inicializando testes

ALGORITMO;CENÁRIO;TAMANHO;TEMPO MÉDIO EM MS;MÉDIA DE COMPARAÇÕES;MÉDIA DE MOVIMENTAÇÕES;ESTABILIDADE
Insercao;Crescente;15000;0.0700;14999;0;Sim
Insercao;Quase_Ordenado;1000;0.2491;58750;58736;Nao
Insercao;Quase_Ordenado;5000;5.6161;1443287;1443272;Nao
Insercao;Quase_Ordenado;10000;22.2329;5879533;5879516;Nao
Insercao;Quase_Ordenado;15000;49.7182;13444225;13444211;Nao
Insercao;Decrescente;1000;1.7950;499349;499969;Sim
Insercao;Decrescente;5000;58.4450;12496767;12499889;Sim
Insercao;Decrescente;10000;220.0230;49993498;49999740;Sim
Insercao;Decrescente;15000;507.1230;112490432;112499865;Sim

MergeSort;Aleatorio;1000;0.2327;8707;19952;Nao
MergeSort;Aleatorio;5000;1.2954;55207;123616;Nao
MergeSort;Aleatorio;10000;2.8620;120457;267232;Nao
MergeSort;Aleatorio;15000;4.4914;189293;417232;Nao
MergeSort;Crescente;1000;0.1630;5250;19952;Nao
MergeSort;Crescente;5000;1.1260;32819;123616;Nao
MergeSort;Crescente;10000;2.0880;70559;267232;Nao
MergeSort;Crescente;15000;2.9670;109241;417232;Nao
MergeSort;Quase_Ordenado;1000;0.2073;8146;19952;Nao
MergeSort;Quase_Ordenado;5000;1.1040;52800;123616;Nao
MergeSort;Quase_Ordenado;10000;2.1370;115362;267232;Nao
MergeSort;Quase_Ordenado;15000;3.2068;181185;417232;Nao
MergeSort;Decrescente;1000;0.1580;4932;19952;Nao
MergeSort;Decrescente;5000;0.8620;29804;123616;Nao
MergeSort;Decrescente;10000;1.8220;64608;267232;Nao
MergeSort;Decrescente;15000;4.3110;102252;417232;Nao

QuickSort;Aleatorio;1000;0.1339;11343;9899;Nao
QuickSort;Aleatorio;5000;0.8345;75843;67926;Nao
QuickSort;Aleatorio;10000;1.5589;165220;145825;Nao
QuickSort;Aleatorio;15000;3.9357;258478;234417;Nao
QuickSort;Crescente;1000;2.5870;499500;1998;Sim
QuickSort;Crescente;5000;63.4530;12497500;9998;Sim
QuickSort;Crescente;10000;147.5870;49995000;19998;Sim
QuickSort;Crescente;15000;326.4190;112492500;29998;Sim
QuickSort;Quase_Ordenado;1000;0.1099;23552;7080;Nao
QuickSort;Quase_Ordenado;5000;0.6603;142744;47137;Nao
QuickSort;Quase_Ordenado;10000;1.5665;346459;109640;Nao
QuickSort;Quase_Ordenado;15000;2.3438;478859;173239;Nao
QuickSort;Decrescente;1000;1.3750;386985;159808;Nao
QuickSort;Decrescente;5000;35.4020;9831627;3843032;Nao
QuickSort;Decrescente;10000;197.1520;39657056;15054666;Nao
QuickSort;Decrescente;15000;390.1070;89766122;34698202;Nao

ShellSort;Aleatorio;1000;0.1577;15336;11210;Nao
ShellSort;Aleatorio;5000;1.1178;115291;86079;Nao
ShellSort;Aleatorio;10000;2.4989;266806;203937;Nao
ShellSort;Aleatorio;15000;4.6390;410885;321165;Nao
ShellSort;Crescente;1000;0.0350;8006;0;Sim
ShellSort;Crescente;5000;0.2410;55005;0;Sim
ShellSort;Crescente;10000;0.5310;120005;0;Sim
ShellSort;Crescente;15000;0.8360;180007;0;Sim
ShellSort;Quase_Ordenado;1000;0.1278;12839;7662;Nao
ShellSort;Quase_Ordenado;5000;0.8992;97544;63149;Nao
ShellSort;Quase_Ordenado;10000;2.0851;227497;154244;Nao
ShellSort;Quase_Ordenado;15000;3.4123;352761;247226;Nao
ShellSort;Decrescente;1000;0.0700;12454;8676;Nao
ShellSort;Decrescente;5000;0.4430;82770;55276;Nao
ShellSort;Decrescente;10000;0.9530;180545;120564;Nao
ShellSort;Decrescente;15000;1.4220;274256;186376;Nao

HeapSort;Aleatorio;1000;0.1656;16851;18167;Nao
HeapSort;Aleatorio;5000;1.0796;107677;114211;Nao
HeapSort;Aleatorio;10000;2.3630;235351;248385;Nao
HeapSort;Aleatorio;15000;3.7349;370332;389860;Nao
HeapSort;Crescente;1000;0.1640;17543;19332;Nao
HeapSort;Crescente;5000;0.9810;112100;121212;Nao
HeapSort;Crescente;10000;1.8130;244395;262520;Nao
HeapSort;Crescente;15000;2.9150;383180;409984;Nao
HeapSort;Quase_Ordenado;1000;0.1661;17393;19147;Nao
HeapSort;Quase_Ordenado;5000;1.0092;111181;119899;Nao
HeapSort;Quase_Ordenado;10000;2.1627;242534;259996;Nao
HeapSort;Quase_Ordenado;15000;3.3141;380359;406540;Nao
HeapSort;Decrescente;1000;0.1350;15982;16642;Nao
HeapSort;Decrescente;5000;0.8080;103239;106842;Nao
HeapSort;Decrescente;10000;2.8320;226569;233230;Nao
HeapSort;Decrescente;15000;3.3320;357722;368192;Nao


 TESTES BOZOSORT 
ALGORITMO;CENÁRIO;TAMANHO;TEMPO MÉDIO EM MS;MÉDIA DE COMPARAÇÕES;MÉDIA DE MOVIMENTAÇÕES;STATUS
BozoSort;Aleatorio;4;1.5120;39;54;OK
BozoSort;Aleatorio;4;1.1260;86;153;OK
BozoSort;Aleatorio;4;1.1570;3;0;OK
BozoSort;Aleatorio;4;1.1500;71;120;OK
BozoSort;Aleatorio;4;1.0570;58;108;OK
BozoSort;Aleatorio;8;1.4480;285;450;OK
BozoSort;Aleatorio;8;2.6970;25562;43608;OK
BozoSort;Aleatorio;8;2.3980;63980;104856;OK
BozoSort;Aleatorio;8;1.2000;2955;4650;OK
BozoSort;Aleatorio;8;1.2530;6626;10953;OK
BozoSort;Aleatorio;10;21.1710;1052828;1708836;OK
BozoSort;Aleatorio;10;15.4520;517638;827535;OK
BozoSort;Aleatorio;10;24.0270;730444;1209057;OK
BozoSort;Aleatorio;10;20.3920;617219;982566;OK
BozoSort;Aleatorio;10;4.7920;97131;157617;OK
BozoSort;Aleatorio;12;39.6670;1253774;1944813;OK
BozoSort;Aleatorio;12;1830.7990;97687275;162307479;OK
BozoSort;Aleatorio;12;762.6750;38979923;64023804;OK
BozoSort;Aleatorio;12;523.9190;25162222;39621924;OK
BozoSort;Aleatorio;12;2626.3170;142563682;240148209;OK

Coleta de métricas finalizada
